子分类,接口名称 (Function),说明 (Description),详细描述,限量,输入参数
港股,stock_hk_spot,港股的历史行情数据(包括前后复权因子),获取所有港股的实时行情数据 15 分钟延时,单次返回当前时间戳的所有港股的数据,
港股,stock_hk_ggt_components_em,港股通成份股,东方财富网-行情中心-港股市场-港股通成份股,单次获取所有港股通成份股数据,
港股,stock_hk_hist_min_em,东财-港股分时数据,东方财富网-行情首页-港股-每日分时行情,"单次返回指定上市公司最近 5 个交易日分钟数据, 注意港股有延时","| 名称         | 类型  | 描述                                                                                                  |
|------------|-----|-----------------------------------------------------------------------------------------------------|
| symbol     | str | symbol=""01611""; 港股代码可以通过 **ak.stock_hk_spot_em()** 函数返回所有的 pandas.DataFrame 里面的 `代码` 字段获取           |
| period     | str | period='5'; choice of {'1', '5', '15', '30', '60'}; 其中 1 分钟数据返回近 5 个交易日数据且不复权                       |
| adjust     | str | adjust=''; choice of {'', 'qfq', 'hfq'}; '': 不复权, 'qfq': 前复权, 'hfq': 后复权, 其中 1 分钟数据返回近 5 个交易日数据且不复权 |
| start_date | str | start_date=""1979-09-01 09:32:00""; 日期时间; 默认返回所有数据                                                    |
| end_date   | str | end_date=""2222-01-01 09:32:00""; 日期时间; 默认返回所有数据                                                      |"
港股,stock_hk_security_profile_em,港股-证券资料,东方财富-港股-证券资料,单次返回全部数据,"| 名称     | 类型  | 描述             |
|--------|-----|----------------|
| symbol | str | symbol=""03900"" |"
港股,stock_hk_dividend_payout_em,港股-分红派息,东方财富-港股-核心必读-分红派息,单次返回全部数据,"| 名称     | 类型  | 描述             |
|--------|-----|----------------|
| symbol | str | symbol=""03900"" |"
港股,stock_hk_profit_forecast_et,港股盈利预测,经济通-公司资料-盈利预测,单次返回指定 symbol 和 indicator 的数据,"| 名称        | 类型  | 描述                                                                    |
|-----------|-----|-----------------------------------------------------------------------|
| symbol    | str | symbol=""09999""                                                        |
| indicator | str | indicator=""盈利预测概览""; choice of {""评级总览"", ""去年度业绩表现"", ""综合盈利预测"", ""盈利预测概览""} |"
美股,get_us_stock_name,获得美股的所有股票代码,,,
美股,stock_us_spot,美股行情报价,新浪财经-美股; 获取的数据有 15 分钟延迟; 建议使用 ak.stock_us_spot_em() 来获取数据,单次返回美股所有上市公司的实时行情数据,
美股,stock_us_daily,美股的历史数据(包括前复权因子),"美股历史行情数据，设定 adjust=""qfq"" 则返回前复权后的数据，默认 adjust="""", 则返回未复权的数据，历史数据按日频率更新",单次返回指定上市公司的指定 adjust 后的所有历史行情数据,"| 名称     | 类型  | 描述                                                                  |
|--------|-----|---------------------------------------------------------------------|
| symbol | str | 美股代码, 可以通过 **ak.get_us_stock_name()** 函数返回所有美股代码, 由于美股数据量大, 建议按需要获取 |
| adjust | str | adjust=""qfq"" 则返回前复权后的数据，默认 adjust="""", 则返回未复权的数据                     |"
美股,stock_us_pink_spot_em,美股-粉单市场,美股粉单市场的实时行情数据,单次返回指定所有粉单市场的行情数据,
美股,stock_financial_us_report_em,东方财富-美股-财务报表-三大报表,东方财富-美股-财务分析-三大报表,单次获取指定股票、指定报告且指定报告期的数据,"| 名称        | 类型  | 描述                                                    |
|-----------|-----|-------------------------------------------------------|
| stock     | str | stock=""TSLA""; 股票代码, 比如 BRK.A 需修改为 BRK_A 再获取           |
| symbol    | str | symbol=""资产负债表""; choice of {""资产负债表"", ""综合损益表"", ""现金流量表""} |
| indicator | str | indicator=""年报""; choice of {""年报"", ""单季报"", ""累计季报""}       |"
美股,stock_financial_us_analysis_indicator_em,东方财富-美股-财务分析-主要指标,东方财富-美股-财务分析-主要指标,单次获取指定股票的所有历史数据,"| 名称        | 类型  | 描述                                              |
|-----------|-----|-------------------------------------------------|
| symbol    | str | symbol=""TSLA""; 股票代码                             |
| indicator | str | indicator=""年报""; choice of {""年报"", ""单季报"", ""累计季报""} |"
美股,stock_us_valuation_baidu,百度股市通-美股-财务报表-估值数据,百度股市通-美股-财务报表-估值数据,单次获取指定 symbol 的指定 indicator 的特定 period 的历史数据,"| 名称        | 类型  | 描述                                                                     |
|-----------|-----|------------------------------------------------------------------------|
| symbol    | str | symbol=""NVDA""; 美股代码                                                    |
| indicator | str | indicator=""总市值""; choice of {""总市值"", ""市盈率(TTM)"", ""市盈率(静)"", ""市净率"", ""市现率""} |
| period    | str | period=""近一年""; choice of {""近一年"", ""近三年"", ""全部""}                           |"
A股/综合,stock_zh_ah_daily,A+H 股历史行情数据(日频),腾讯财经-A+H 股数据,单次返回指定参数的 A+H 上市公司的历史行情数据,"| 名称         | 类型  | 描述                                                          |
|------------|-----|-------------------------------------------------------------|
| symbol     | str | symbol=""02318""; 港股股票代码, 可以通过 **ak.stock_zh_ah_name()** 函数获取 |
| start_year | str | start_year=""2000""; 开始年份                                     |
| end_year   | str | end_year=""2019""; 结束年份                                       |
| adjust     | str | adjust=""""; 默认为空不复权; 'qfq': 前复权, 'hfq': 后复权                  |"
A股/综合,stock_zh_ah_name,A+H 股所有股票代码,"A+H 股数据是从腾讯财经获取的数据, 历史数据按日频率更新",单次返回所有 A+H 上市公司的代码和名称,
A股/综合,stock_zh_a_daily,A 股历史行情数据(日频),"新浪财经-沪深京 A 股的数据, 历史数据按日频率更新; 注意其中的 **sh689009** 为 CDR, 请 通过 **ak.stock_zh_a_cdr_daily** 接口获取","单次返回指定沪深京 A 股上市公司指定日期间的历史行情日频率数据, 多次获取容易封禁 IP","| 名称         | 类型  | 描述                                                                                   |
|------------|-----|--------------------------------------------------------------------------------------|
| symbol     | str | symbol='sh600000'; 股票代码可以在 **ak.stock_zh_a_spot()** 中获取                              |
| start_date | str | start_date='20201103'; 开始查询的日期                                                       |
| end_date   | str | end_date='20201116'; 结束查询的日期                                                         |
| adjust     | str | 默认返回不复权的数据; qfq: 返回前复权后的数据; hfq: 返回后复权后的数据; hfq-factor: 返回后复权因子; qfq-factor: 返回前复权因子 |"
A股/综合,stock_zh_a_minute,A 股分时历史行情数据(分钟),"新浪财经-沪深京 A 股股票或者指数的分时数据，目前可以获取 1, 5, 15, 30, 60 分钟的数据频率, 可以指定是否复权",单次返回指定股票或指数的指定频率的最近交易日的历史分时行情数据; 注意调用频率,"| 名称     | 类型  | 描述                                                         |
|--------|-----|------------------------------------------------------------|
| symbol | str | symbol='sh000300'; 同日频率数据接口                                |
| period | str | period='1'; 获取 1, 5, 15, 30, 60 分钟的数据频率                    |
| adjust | str | adjust=""""; 默认为空: 返回不复权的数据; qfq: 返回前复权后的数据; hfq: 返回后复权后的数据; |"
A股/综合,stock_zh_a_cdr_daily,A 股 CDR 历史行情数据(日频),上海证券交易所-科创板-CDR,"单次返回指定 CDR 的日频率数据, 分钟历史行情数据可以通过 stock_zh_a_minute 获取","| 名称         | 类型  | 描述                          |
|------------|-----|-----------------------------|
| symbol     | str | symbol='sh689009'; CDR 股票代码 |
| start_date | str | start_date='20201103'       |
| end_date   | str | end_date='20201116'         |"
A股/综合,stock_zh_kcb_daily,科创板历史行情数据(日频),新浪财经-科创板股票历史行情数据,"单次返回指定 symbol 和 adjust 的所有历史行情数据; 请控制采集的频率, 大量抓取容易封IP","| 名称     | 类型  | 描述                                                                                 |
|--------|-----|------------------------------------------------------------------------------------|
| symbol | str | symbol=""sh688008""; 带市场标识的股票代码                                                      |
| adjust | str | 默认不复权的数据; qfq: 返回前复权后的数据; hfq: 返回后复权后的数据; hfq-factor: 返回后复权因子; qfq-factor: 返回前复权因子 |"
