子分类,接口名称 (Function),说明 (Description)
交易所行情,get_cffex_daily,中国金融期货交易所每日交易数据
,get_czce_daily,郑州商品交易所每日交易数据
,get_dce_daily,大连商品交易所每日交易数据
,get_gfex_daily,广州期货交易所每日交易数据
,get_ine_daily,上海国际能源交易中心每日交易数据
,get_shfe_daily,上海期货交易所每日交易数据
,futures_settlement_price_sgx,新加坡交易所期货品种每日交易数据
,futures_foreign_hist,外盘期货历史行情数据
,futures_foreign_detail,外盘期货合约详情
,futures_zh_minute_sina,内盘分时数据
,futures_global_hist_em,东方财富网-行情中心-期货市场-国际期货-历史行情
,futures_hist_em,期货行情-东方财富
工具/现货/奇货,get_futures_daily,中国金融期货交易所每日基差数据
,get_roll_yield,某一天某品种(主力和次主力)或固定两个合约的展期收益率
,get_roll_yield_bar,展期收益率
,get_shfe_v_wap,上海期货交易所日成交均价数据
,futures_spot_price,具体交易日大宗商品现货价格及相应基差数据
,futures_spot_price_previous,具体交易日大宗商品现货价格及相应基差数据-该接口补充历史数据
,futures_spot_price_daily,一段交易日大宗商品现货价格及相应基差数据
,futures_rule,国泰君安-交易日历
,get_qhkc_index,奇货可查-指数-数值数据
,get_qhkc_index_profit_loss,奇货可查-指数-累计盈亏数据
,get_qhkc_index_trend,奇货可查-指数-大资金动向数据
,get_qhkc_fund_bs,奇货可查-资金-净持仓分布数据
,get_qhkc_fund_position,奇货可查-资金-总持仓分布数据
,get_qhkc_fund_position_change,奇货可查-资金-净持仓变化分布数据
,get_qhkc_tool_foreign,奇货可查-工具-外盘比价数据
,get_qhkc_tool_gdp,奇货可查-工具-各地区经济数据
,futures_spot_stock,现货与股票接口
,futures_index_ccidx,中证商品指数
,futures_contract_detail,新浪期货合约详情
,futures_contract_detail_em,东方财富期货合约详情
,futures_to_spot_czce,郑商所期转现
,futures_to_spot_shfe,上期所期转现
,futures_to_spot_dce,大商所期转现
,futures_delivery_dce,大商所交割统计
,futures_delivery_czce,郑商所交割统计
,futures_delivery_shfe,上期所交割统计
,futures_delivery_match_dce,大商所交割配对
,futures_delivery_match_czce,郑商所交割配对
,futures_comm_info,期货手续费
,futures_fees_info,期货交易费用参照表
,futures_hq_subscribe_exchange_symbol,期货品种字典
,spot_hist_sge,上海黄金交易所-历史行情走势
,spot_golden_benchmark_sge,上海金基准价
,spot_silver_benchmark_sge,上海银基准价
,futures_spot_sys,生意社-商品与期货-现期图
,futures_contract_info_shfe,上海期货交易所-期货合约信息
,futures_contract_info_ine,上海国际能源交易中心-期货合约信息
,futures_contract_info_dce,大连商品交易所-期货合约信息
,futures_contract_info_czce,郑州商品交易所-期货合约信息
,futures_contract_info_gfex,广州期货交易所-期货合约信息
,futures_contract_info_cffex,中国金融期货交易所-期货合约信息
,spot_price_qh,现货走势
