子分类,接口名称 (Function),说明 (Description)
商品期权,option_hist_dce,提供大连商品交易所商品期权数据
,option_hist_czce,提供郑州商品交易所商品期权数据
,option_hist_shfe,提供上海期货交易所商品期权数据
,option_hist_gfex,提供广州期货交易所商品期权数据
,option_vol_gfex,提供广州期货交易所-合约隐含波动率数据
,option_vol_shfe,提供上海期货交易所-合约隐含波动率数据
,option_hist_yearly_czce,郑州商品交易所-交易数据-历史行情下载-期权历史行情下载
,option_sina_option_commodity_dict,商品期权合约字典查询
,option_sina_option_commodity_contract_list,商品期权合约查询
,option_sina_option_commodity_hist,商品期权行情历史数据
,option_comm_info,商品期权手续费
金融期权,get_finance_option,提供上海证券交易所期权数据
,option_finance_board,金融期权数据
,option_cffex_sz50_list_sina,上证50期权列表
,option_cffex_sz50_daily_sina,沪深300期权历史行情-日频
,option_cffex_hs300_list_sina,沪深300期权列表
,option_cffex_hs300_daily_sina,沪深300期权历史行情-日频
,option_cffex_zz1000_list_sina,中证1000期权列表
,option_cffex_zz1000_daily_sina,中证1000期权历史行情-日频
,option_sse_list_sina,上交所期权列表
,option_sse_expire_day_sina,上交所期权剩余到期日
,option_sse_codes_sina,上交所期权代码
,option_sse_greeks_sina,上交所期权希腊字母
,option_sse_minute_sina,上交所期权分钟数据
,option_sse_daily_sina,上交所期权日频数据
,option_finance_minute_sina,金融股票期权分时数据
,option_minute_em,股票期权分时数据
,option_risk_indicator_sse,上海证券交易所-产品-股票期权-期权风险指标
,option_current_em,东方财富-期权
,option_current_day_szse,深圳证券交易所-期权子网-行情数据-当日合约
,option_current_day_sse,上海证券交易所-产品-股票期权-信息披露-当日合约
,option_contract_info_ctp,期权合约信息
,option_margin,期权保证金
,option_daily_stats_sse,上海证券交易所-产品-股票期权-每日统计
,option_daily_stats_szse,深圳证券交易所-市场数据-期权数据-日度概况
,option_value_analysis_em,期权价值分析
,option_risk_analysis_em,期权风险分析
,option_premium_analysis_em,期权折溢价分析
