子分类,接口名称 (Function),说明 (Description)
汇率/牌价,get_fx_spot_quote,人民币外汇即期报价数据
,get_fx_swap_quote,人民币外汇远掉报价数据
,get_fx_pair_quote,外币对即期报价数据
,fx_spot_quote,市场行情-外汇市场行情-人民币外汇即期报价
,fx_swap_quote,市场行情-债券市场行情-人民币外汇远掉报价
,fx_pair_quote,市场行情-债券市场行情-外币对即期报价
,currency_latest,最新货币报价
,currency_history,指定历史日期的所有货币报价
,currency_time_series,指定日期间的时间序列数据-需要权限
,currency_currencies,查询所支持的货币信息
,currency_convert,货币换算
,currency_pair_map,指定货币的所有可货币对的数据
,currency_boc_sina,中行人民币牌价历史数据查询
,currency_boc_safe,人民币汇率中间价
,fx_c_swap_cm,中国外汇交易中心暨全国银行间同业拆借中心-基准-外汇市场-外汇掉期曲线-外汇掉漆 C-Swap 定盘曲线
,forex_hist_em,东方财富网-行情中心-外汇市场-所有汇率-历史行情数据
