子分类,接口名称 (Function),说明 (Description)
利率/货币,rate_interbank,银行间拆借利率 (移自外汇分类)
,repo_rate_hist,回购定盘利率 (移自外汇分类)
,macro_china_lpr,中国-利率-贷款报价利率
,macro_china_shibor_all,上海银行业同业拆借报告
,macro_china_hk_market_info,人民币香港银行同业拆息
,macro_china_swap_rate,FR007利率互换曲线历史数据
,macro_china_m2_yearly,M2货币供应年率
,macro_china_supply_of_money,货币供应量
,macro_china_money_supply,中国货币供应量
,macro_bank_usa_interest_rate,美联储利率决议报告
中国-综合,macro_cnbs,中国宏观杠杆率数据
,macro_china_urban_unemployment,城镇调查失业率
,macro_china_shrzgm,社会融资规模增量统计
,macro_china_gdp_yearly,金十数据中心-经济指标-中国-国民经济运行状况-经济状况-中国GDP年率报告
,macro_china_cpi_yearly,金十数据中心-经济指标-中国-国民经济运行状况-物价水平-中国CPI年率报告
,macro_china_cpi_monthly,金十数据中心-经济指标-中国-国民经济运行状况-物价水平-中国CPI月率报告
,macro_china_ppi_yearly,金十数据中心-经济指标-中国-国民经济运行状况-物价水平-中国PPI年率报告
,macro_china_exports_yoy,金十数据中心-经济指标-中国-贸易状况-以美元计算出口年率报告
,macro_china_imports_yoy,金十数据中心-经济指标-中国-贸易状况-以美元计算进口年率
,macro_china_trade_balance,金十数据中心-经济指标-中国-贸易状况-以美元计算贸易帐(亿美元)
,macro_china_industrial_production_yoy,金十数据中心-经济指标-中国-产业指标-规模以上工业增加值年率
,macro_china_pmi_yearly,金十数据中心-经济指标-中国-产业指标-官方制造业PMI
,macro_china_cx_pmi_yearly,金十数据中心-经济指标-中国-产业指标-财新制造业PMI终值
,macro_china_cx_services_pmi_yearly,金十数据中心-经济指标-中国-产业指标-财新服务业PMI
,macro_china_non_man_pmi,金十数据中心-经济指标-中国-产业指标-中国官方非制造业PMI
,macro_china_fx_reserves_yearly,金十数据中心-经济指标-中国-金融指标-外汇储备(亿美元)
,macro_china_daily_energy,金十数据中心-经济指标-中国-其他-中国日度沿海六大电库存数据
,macro_china_new_house_price,中国-新房价指数
,macro_china_enterprise_boom_index,中国-企业景气及企业家信心指数
,macro_china_national_tax_receipts,中国-全国税收收入
,macro_china_bank_financing,中国-银行理财产品发行数量
,macro_china_new_financial_credit,中国-新增信贷数据
,macro_china_fx_gold,中国-外汇和黄金储备
,macro_china_stock_market_cap,中国-全国股票交易统计表
,macro_china_cpi,中国-居民消费价格指数
,macro_china_gdp,中国-国内生产总值
,macro_china_ppi,中国-工业品出厂价格指数
,macro_china_pmi,中国-采购经理人指数
,macro_china_gdzctz,中国-城镇固定资产投资
,macro_china_hgjck,中国-海关进出口增减情况一览表 / 海关进出口增减情况
,macro_china_czsr,中国-财政收入
,macro_china_whxd,中国-外汇贷款数据
,macro_china_wbck,中国-本外币存款
,macro_china_bond_public,中国-债券发行
,macro_china_xfzxx,消费者信心指数
,macro_china_gyzjz,工业增加值增长
,macro_china_reserve_requirement_ratio,存款准备金率
,macro_china_consumer_goods_retail,社会消费品零售总额
,macro_china_society_electricity,全社会用电分类情况表
,macro_china_society_traffic_volume,全社会客货运输量
,macro_china_postal_telecommunicational,邮电业务基本情况
,macro_china_international_tourism_fx,国际旅游外汇收入构成
,macro_china_passenger_load_factor,民航客座率及载运率
,macro_china_freight_index,航贸运价指数
,macro_china_central_bank_balance,央行货币当局资产负债
,macro_china_insurance,保险业经营情况
,macro_china_foreign_exchange_gold,央行黄金和外汇储备
,macro_china_retail_price_index,商品零售价格指数
,macro_china_real_estate,国房景气指数
