子分类,接口名称 (Function),说明 (Description)
行业/特色,car_sale_rank_gasgoo,盖世汽车-汽车行业制造企业数据库-销量数据
,car_market_total_cpca,乘联会-统计数据-总体市场
,car_market_man_rank_cpca,乘联会-统计数据-厂商排名
,car_market_cate_cpca,乘联会-统计数据-车型大类
,car_market_country_cpca,乘联会-统计数据-国别细分市场
,car_market_segment_cpca,乘联会-统计数据-级别细分市场
,car_market_fuel_cpca,乘联会-统计数据-新能源细分市场
,futures_hog_core,生猪信息-核心数据
,futures_hog_cost,生猪信息-成本维度
,futures_hog_supply,生猪信息-供应维度
,spot_hog_soozhu,搜猪-生猪大数据-各省均价实时排行榜
,spot_hog_year_trend_soozhu,搜猪-生猪大数据-今年以来全国出栏均价走势
,spot_hog_lean_price_soozhu,搜猪-生猪大数据-全国瘦肉型肉猪
,spot_hog_three_way_soozhu,搜猪-生猪大数据-全国三元仔猪
,spot_hog_crossbred_soozhu,搜猪-生猪大数据-全国后备二元母猪
,spot_corn_price_soozhu,搜猪-生猪大数据-全国玉米价格走势
,spot_soybean_price_soozhu,搜猪-生猪大数据-全国豆粕价格走势
,spot_mixed_feed_soozhu,搜猪-生猪大数据-全国育肥猪合料（含自配料）半月走势
,fortune_rank,财富世界500强公司历年排名
,forbes_rank,福布斯中国榜单
,xincaifu_rank,新财富500富豪榜
,hurun_rank,胡润排行榜
,index_bloomberg_billionaires,彭博亿万富豪指数
,index_bloomberg_billionaires_hist,彭博亿万富豪历史指数
,tool_trade_date_hist,新浪财经-交易日历
,futures_news_shmet,上海金属网-快讯
另类数据,bank_fjcf_table_detail,银保监分局本级行政处罚-信息公开表
,article_oman_rv,O-MAN已实现波动率
,article_rlab_rv,Risk-Lab已实现波动率
,ff_crr,FF当前因子
,weather_daily,每日日出和日落数据
,weather_monthly,每月日出和日落数据
,air_quality_hebei,河北空气质量数据(期货-钢铁)
,article_epu_index,主要国家和地区的经济政策不确定性(EPU)指数
,air_quality_hist,空气质量历史数据
,air_quality_rank,空气质量排行
,air_quality_watch_point,空气质量观测点历史数据
,air_city_table,所有城市列表
,nlp_ownthink,知识图谱
,nlp_answer,智能问答
,energy_oil_hist,汽柴油历史调价信息
,energy_oil_detail,地区油价
,news_cctv,新闻联播文字稿
,movie_boxoffice_realtime,电影实时票房
,movie_boxoffice_daily,电影单日票房
,movie_boxoffice_weekly,电影单周票房
,movie_boxoffice_monthly,电影单月票房
,movie_boxoffice_yearly,电影年度票房
,movie_boxoffice_yearly_first_week,电影年度首周票房
,movie_boxoffice_cinema_daily,电影院单日票房
,movie_boxoffice_cinema_weekly,电影院单周票房
,business_value_artist,艺人商业价值
,online_value_artist,艺人流量价值
,video_tv,电视剧集
,video_variety_show,综艺节目
,index_pmi_com_cx,财新数据-指数报告-财新中国 PMI-综合 PMI
,index_pmi_man_cx,财新数据-指数报告-财新中国 PMI-制造业 PMI
,index_pmi_ser_cx,财新数据-指数报告-财新中国 PMI-服务业 PMI
,index_dei_cx,财新数据-指数报告-数字经济指数
,index_ii_cx,财新数据-指数报告-产业指数
,index_si_cx,财新数据-指数报告-溢出指数
,index_fi_cx,财新数据-指数报告-融合指数
,index_bi_cx,财新数据-指数报告-基础指数
,index_nei_cx,财新数据-指数报告-中国新经济指数
,index_li_cx,财新数据-指数报告-劳动力投入指数
,index_ci_cx,财新数据-指数报告-资本投入指数
,index_ti_cx,财新数据-指数报告-科技投入指数
,index_neaw_cx,财新数据-指数报告-新经济行业入职平均工资水平
,index_awpr_cx,财新数据-指数报告-新经济入职工资溢价水平
,index_cci_cx,财新数据-指数报告-大宗商品指数
,index_qli_cx,财新数据-指数报告-高质量因子
,index_ai_cx,财新数据-指数报告-AI策略指数
,index_bei_cx,财新数据-指数报告-基石经济指数
,index_neei_cx,财新数据-指数报告-新动能指数
,migration_area_baidu,百度迁徙地图-迁入/出地详情
,migration_scale_baidu,百度迁徙地图-迁徙规模
,news_economic_baidu,宏观-全球事件
,news_trade_notify_suspend_baidu,停复牌
,news_report_time_baidu,财报发行
,news_trade_notify_dividend_baidu,分红配股
